demand,price,region,sales
3588.0,1.0,NE,3588.0
1832.0,1.27272727273,NE,1832.0
1181.0,1.54545454545,NE,1181.0
941.0,1.81818181818,NE,941.0
719.0,2.09090909091,NE,719.0
685.0,2.36363636364,NE,685.0
435.0,2.63636363636,NE,435.0
336.0,2.90909090909,NE,336.0
303.0,3.18181818182,NE,303.0
232.0,3.45454545455,NE,232.0
245.0,3.72727272727,NE,245.0
188.0,4.0,NE,188.0
6265.0,1.0,MA,6265.0
3667.0,1.27272727273,MA,3667.0
3147.0,1.54545454545,MA,3147.0
1994.0,1.81818181818,MA,1994.0
1309.0,2.09090909091,MA,1309.0
1166.0,2.36363636364,MA,1166.0
673.0,2.63636363636,MA,673.0
744.0,2.90909090909,MA,744.0
595.0,3.18181818182,MA,595.0
507.0,3.45454545455,MA,507.0
413.0,3.72727272727,MA,413.0
303.0,4.0,MA,303.0
3904.0,1.0,SE,3904.0
2581.0,1.27272727273,SE,2581.0
1453.0,1.54545454545,SE,1453.0
1213.0,1.81818181818,SE,1213.0
846.0,2.09090909091,SE,846.0
538.0,2.36363636364,SE,538.0
399.0,2.63636363636,SE,399.0
367.0,2.90909090909,SE,367.0
323.0,3.18181818182,SE,323.0
274.0,3.45454545455,SE,274.0
216.0,3.72727272727,SE,216.0
201.0,4.0,SE,201.0
5124.0,1.0,MW,5124.0
4110.0,1.27272727273,MW,4110.0
2386.0,1.54545454545,MW,2386.0
1918.0,1.81818181818,MW,1918.0
1027.0,2.09090909091,MW,1027.0
900.0,2.36363636364,MW,900.0
861.0,2.63636363636,MW,861.0
689.0,2.90909090909,MW,689.0
602.0,3.18181818182,MW,602.0
499.0,3.45454545455,MW,499.0
396.0,3.72727272727,MW,396.0
293.0,4.0,MW,293.0
3164.0,1.0,DS,3164.0
2133.0,1.27272727273,DS,2133.0
1536.0,1.54545454545,DS,1536.0
1112.0,1.81818181818,DS,1112.0
575.0,2.09090909091,DS,575.0
509.0,2.36363636364,DS,509.0
417.0,2.63636363636,DS,417.0
356.0,2.90909090909,DS,356.0
312.0,3.18181818182,DS,312.0
254.0,3.45454545455,DS,254.0
216.0,3.72727272727,DS,216.0
180.0,4.0,DS,180.0
1512.0,1.0,NW,1512.0
1158.0,1.27272727273,NW,1158.0
639.0,1.54545454545,NW,639.0
541.0,1.81818181818,NW,541.0
464.0,2.09090909091,NW,464.0
330.0,2.36363636364,NW,330.0
259.0,2.63636363636,NW,259.0
216.0,2.90909090909,NW,216.0
188.0,3.18181818182,NW,188.0
152.0,3.45454545455,NW,152.0
129.0,3.72727272727,NW,129.0
117.0,4.0,NW,117.0
2277.0,1.0,SW,2277.0
1510.0,1.27272727273,SW,1510.0
1302.0,1.54545454545,SW,1302.0
760.0,1.81818181818,SW,760.0
489.0,2.09090909091,SW,489.0
370.0,2.36363636364,SW,370.0
355.0,2.63636363636,SW,355.0
362.0,2.90909090909,SW,362.0
293.0,3.18181818182,SW,293.0
212.0,3.45454545455,SW,212.0
169.0,3.72727272727,SW,169.0
165.0,4.0,SW,165.0
